Station,Occurrences,Latitude,Longitude
Southport Ave & Clybourn Ave,10180,41.920771,-87.663712
Clarendon Ave & Gordon Ter,14734,41.957879424,-87.649583697
Prairie Ave & Garfield Blvd,1593,41.794827223,-87.618794918
Wells St & Concord Ln,37661,41.912133,-87.634656
Franklin St & Illinois St,14059,41.89102331025185,-87.63547986745834
Indiana Ave & 31st St,4515,41.838842,-87.621857
Calumet Ave & 33rd St,9408,41.8349,-87.61793
Broadway & Thorndale Ave,7894,41.98974251144,-87.6601406209
McClurg Ct & Erie St,15597,41.894503,-87.617854
Halsted St & 63rd St,164,41.779432654,-87.644514203
Rockwell St & Eastwood Ave,3882,41.965816021,-87.693648815
Clark St & Grace St,14236,41.950824142,-87.659229755
California Ave & Montrose Ave,3658,41.961068,-87.695439
Sheffield Ave & Fullerton Ave,24837,41.9256018819,-87.6537080423
Racine Ave & Congress Pkwy,8830,41.87464,-87.65703
Francisco Ave & Foster Ave,2566,41.97563272521,-87.7014194389
Shedd Aquarium,24699,41.867226,-87.615355
Southport Ave & Wellington Ave,13703,41.935829759,-87.663625121
Stockton Dr & Wrightwood Ave,16683,41.93132,-87.638742
Ravenswood Ave & Lawrence Ave,17529,41.96909,-87.674237
Ravenswood Ave & Berteau Ave,4411,41.957921,-87.673567
Morgan St & Lake St*,6254,41.885566354,-87.652404785
Knox Ave & Montrose Ave,1575,41.960631132,-87.745355248
Lincoln Ave & Fullerton Ave,23000,41.924161029067626,-87.64638036489487
Mies van der Rohe Way & Chestnut St,15643,41.898902666666665,-87.62276716666666
Damen Ave & Leland Ave,6222,41.967082143,-87.679026365
Clark St & Berwyn Ave,12416,41.97803062248656,-87.66856491565704
Wabash Ave & 83rd St,80,41.74334836,-87.62283158299999
Streeter Dr & Grand Ave,73203,41.892283916,-87.611990213
Stewart Ave & 63rd St,170,41.779860377,-87.6347965
Franklin St & Adams St (Temp),10295,41.87943409140013,-87.63550400733948
Larrabee St & Division St,12487,41.90348607004,-87.6433534936
N Carpenter St & W Lake St,3134,41.89,-87.65
Clark St & Lincoln Ave,27040,41.91572383333333,-87.63460883333333
LaSalle St & Jackson Blvd,15342,41.878166,-87.631929
Morgan St & 31st St,3881,41.837791204,-87.651172161
Ridge Blvd & Howard St,900,42.019266844,-87.684514165
Michigan Ave & 14th St,11993,41.864059,-87.623727
Shields Ave & 28th Pl,3341,41.842733,-87.635491
Sedgwick St & Schiller St,4465,41.907626,-87.638566
DuSable Lake Shore Dr & Wellington Ave,19431,41.936754465,-87.636813164
New St & Illinois St,21444,41.890680552,-87.618609786
Sheridan Rd & Columbia Ave,3788,42.004583,-87.661406
Damen Ave & Charleston St,6355,41.920017123,-87.677894354
Wells St & Elm St,31817,41.903033733,-87.634494662
Elston Ave & Wabansia Ave,3284,41.912970901,-87.664095759
Desplaines St & Kinzie St,21533,41.888716036,-87.6444478533
Francisco Ave & Montrose Ave,1684,41.96,-87.7
Harper Ave & 59th St,6377,41.787917495,-87.58833015
Indiana Ave & 26th St,2924,41.845687,-87.622481
Kimball Ave & Belmont Ave,2833,41.93939395344302,-87.71206766366959
Orleans St & Merchandise Mart Plaza,19360,41.88788867,-87.636901259
Ellis Ave & 60th St,26067,41.785174251,-87.601122499
Rush St & Cedar St,17223,41.9024495,-87.62796833333333
Wells St & Walton St,11011,41.89993001,-87.63443007
Burling St & Diversey Pkwy,14946,41.93314,-87.64776
Buckingham Fountain,7425,41.876423,-87.620339
Ashland Ave & Grand Ave,5961,41.891081929,-87.666687012
Kingsbury St & Erie St,18490,41.89380805624359,-87.64169722795485
Franklin St & Monroe St,16019,41.880317,-87.635185
Wabash Ave & Grand Ave,27247,41.891533613,-87.626582146
Ashland Ave & Blackhawk St,9787,41.907066,-87.667252
Southport Ave & Clark St,3594,41.957104445,-87.664228439
Lincoln Ave & Belmont Ave (Temp),8438,41.939424753,-87.67106545
Ashland Ave & Grace St,7720,41.950687,-87.6687
Central Ave & Roscoe St,383,41.94,-87.77
Orleans St & Chestnut St (NEXT Apts),9625,41.898203,-87.637536
Damen Ave & Chicago Ave,11289,41.89563833333333,-87.6770655
Sangamon St & Washington Blvd,9442,41.882997632,-87.651050329
N Damen Ave & W Chicago Ave,826,41.9,-87.68
Wentworth Ave & 24th St (Temp),1984,41.85008369347577,-87.6321405172348
Sheridan Rd & Greenleaf Ave,2239,42.01058656284,-87.6624120948
Albany Ave & Montrose Ave,2330,41.96104183333333,-87.70581433333334
Ada St & Washington Blvd,8211,41.882791758,-87.66112864
Wood St & Augusta Blvd,6287,41.89921116666667,-87.672199
Halsted St & Dickens Ave,17157,41.919936,-87.64883
Kedzie Ave & Bryn Mawr Ave,1108,41.982325792,-87.708863616
Michigan Ave & Jackson Blvd,13368,41.87785,-87.62408
Jefferson St & Monroe St,9648,41.880329633634624,-87.64274597167967
Wells St & Hubbard St,24998,41.889906,-87.634266
Lincoln Ave & Winona St,2818,41.97492671,-87.692660689
900 W Harrison St,13691,41.8748101,-87.64974761
Wabash Ave & 16th St,8770,41.860324166666665,-87.62586916666666
Western Ave & Congress Pkwy,3794,41.874573112,-87.686460018
Desplaines St & Jackson Blvd,12417,41.87811890091227,-87.64394760131836
Kedzie Ave & Palmer Ct,4520,41.921525,-87.707322
Broadway & Ridge Ave,7662,41.984058619,-87.6603055
Wentworth Ave & 33rd St,3588,41.834572077,-87.631839871
Damen Ave & Coulter St,836,41.849205732,-87.675676346
California Ave & 21st St,1196,41.8537975,-87.69571666666667
Clark St & Ida B Wells Dr,6889,41.8759326655,-87.6305845355
Wentworth Ave & 35th St,2181,41.830777,-87.632504
Woodlawn & 103rd - Olive Harvey Vaccination Site,92,41.71,-87.59
Komensky Ave & 55th St,216,41.79,-87.72
Aberdeen St & Monroe St,10193,41.880419,-87.655519
Winchester Ave & Elston Ave,3929,41.92409085038,-87.6764600747
Sheffield Ave & Wrightwood Ave,17671,41.928712,-87.653833
Lavergne & Fullerton,494,41.92,-87.75
Blackstone Ave & Hyde Park Blvd,5006,41.802562,-87.590368
Public Rack - Western Ave & Devon Ave,224,42.0,-87.69
Michigan Ave & 71st St,138,41.765286,-87.621748
